date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:27:05	107396/107396	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:07%20GMT	https://www.psicoresumenes.com/clases-particulares.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/clases-particulares.html	(from https://www.psicoresumenes.com/)
04:27:06	101799/101799	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:07%20GMT	https://www.psicoresumenes.com/planificacion-de-semestres.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/planificacion-de-semestres.html	(from https://www.psicoresumenes.com/)
04:27:07	100658/100658	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:08%20GMT	https://www.psicoresumenes.com/correccion-de-tfg-y-otros-trabajos-academicos.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/correccion-de-tfg-y-otros-trabajos-academicos.html	(from https://www.psicoresumenes.com/)
04:27:07	127261/127261	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:09%20GMT	https://www.psicoresumenes.com/alejandrobusto.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/alejandrobusto.html	(from https://www.psicoresumenes.com/)
04:27:08	146292/146292	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:09%20GMT	https://www.psicoresumenes.com/resumenes-tutorias-materiales-de-psicologia.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/resumenes-tutorias-materiales-de-psicologia.html	(from https://www.psicoresumenes.com/)
04:27:09	122437/122437	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:10%20GMT	https://www.psicoresumenes.com/primerano.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/primerano.html	(from https://www.psicoresumenes.com/)
04:27:10	115455/115455	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:11%20GMT	https://www.psicoresumenes.com/segundoano.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/segundoano.html	(from https://www.psicoresumenes.com/)
04:27:10	114040/114040	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:12%20GMT	https://www.psicoresumenes.com/tercerano.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/tercerano.html	(from https://www.psicoresumenes.com/)
04:27:11	107022/107022	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:12%20GMT	https://www.psicoresumenes.com/cuartoano.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/cuartoano.html	(from https://www.psicoresumenes.com/)
04:27:12	175952/175952	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:13%20GMT	https://www.psicoresumenes.com/resumenes-de-psicologia.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/resumenes-de-psicologia.html	(from https://www.psicoresumenes.com/)
04:27:13	205296/205296	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:14%20GMT	https://www.psicoresumenes.com/bibliografias-de-psicologia.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/bibliografias-de-psicologia.html	(from https://www.psicoresumenes.com/)
04:27:13	167153/167153	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:15%20GMT	https://www.psicoresumenes.com/pruebas-y-autoevaluaciones-psicologia.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/pruebas-y-autoevaluaciones-psicologia.html	(from https://www.psicoresumenes.com/)
04:27:14	102535/102535	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:15%20GMT	https://www.psicoresumenes.com/libros.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/libros.html	(from https://www.psicoresumenes.com/)
04:27:15	110517/110517	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:16%20GMT	https://www.psicoresumenes.com/libros-de-psicologia-cientifica-ciencias-del-comportamiento.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/libros-de-psicologia-cientifica-ciencias-del-comportamiento.html	(from https://www.psicoresumenes.com/)
04:27:16	142055/142055	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:17%20GMT	https://www.psicoresumenes.com/libros-de-psicoanalisis-las-obras-de-sigmund-freud.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/libros-de-psicoanalisis-las-obras-de-sigmund-freud.html	(from https://www.psicoresumenes.com/)
04:27:16	97842/97842	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:18%20GMT	https://www.psicoresumenes.com/psicotutorias-gratuitas-de-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/psicotutorias-gratuitas-de-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:18	225477/225477	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:18%20GMT	https://www.psicoresumenes.com/psicotutorias-primer-semestre.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/psicotutorias-primer-semestre.html	(from https://www.psicoresumenes.com/)
04:27:19	225855/225855	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:19%20GMT	https://www.psicoresumenes.com/psicotutorias-segundo-semestre.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/psicotutorias-segundo-semestre.html	(from https://www.psicoresumenes.com/)
04:27:19	181070/181070	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:21%20GMT	https://www.psicoresumenes.com/psicotutorias-tercer-semestre.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/psicotutorias-tercer-semestre.html	(from https://www.psicoresumenes.com/)
04:27:20	166058/166058	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:21%20GMT	https://www.psicoresumenes.com/psicotutorias-cuarto-semestre.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/psicotutorias-cuarto-semestre.html	(from https://www.psicoresumenes.com/)
04:27:21	155460/155460	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:22%20GMT	https://www.psicoresumenes.com/psicotutorias-quinto-semestre.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/psicotutorias-quinto-semestre.html	(from https://www.psicoresumenes.com/)
04:27:22	154354/154354	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:23%20GMT	https://www.psicoresumenes.com/psicotutorias-sexto-semestre.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/psicotutorias-sexto-semestre.html	(from https://www.psicoresumenes.com/)
04:27:22	181277/181277	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:24%20GMT	https://www.psicoresumenes.com/preguntas-frecuentes-informacion-de-facultad-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/preguntas-frecuentes-informacion-de-facultad-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:24	141100/141100	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:25%20GMT	https://www.psicoresumenes.com/introduccion-facultad-de-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/introduccion-facultad-de-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:24	107828/107828	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:25%20GMT	https://www.psicoresumenes.com/modalidades-de-examenes-fpsico.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/modalidades-de-examenes-fpsico.html	(from https://www.psicoresumenes.com/)
04:27:25	89468/89468	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:26%20GMT	https://www.psicoresumenes.com/inscripcion-a-examenes-facultad-de-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/inscripcion-a-examenes-facultad-de-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:26	92482/92482	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:27%20GMT	https://www.psicoresumenes.com/previaturas-de-facultad-de-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/previaturas-de-facultad-de-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:27	92290/92290	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:28%20GMT	https://www.psicoresumenes.com/uco-idiomas-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/uco-idiomas-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:28	93297/93297	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:29%20GMT	https://www.psicoresumenes.com/formularioestadistico.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/formularioestadistico.html	(from https://www.psicoresumenes.com/)
04:27:28	108933/108933	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:30%20GMT	https://www.psicoresumenes.com/sifp-guias-uco-mail-docentes-modalidades-clase-bibliografia.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/sifp-guias-uco-mail-docentes-modalidades-clase-bibliografia.html	(from https://www.psicoresumenes.com/)
04:27:29	94459/94459	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:30%20GMT	https://www.psicoresumenes.com/certificaciones-medicas.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/certificaciones-medicas.html	(from https://www.psicoresumenes.com/)
04:27:30	98483/98483	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:31%20GMT	https://www.psicoresumenes.com/cooperacion-institucional-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/cooperacion-institucional-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:31	141096/141096	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:32%20GMT	https://www.psicoresumenes.com/articulos-de-alejandro-busto-bertorelli.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/articulos-de-alejandro-busto-bertorelli.html	(from https://www.psicoresumenes.com/)
04:27:31	49403/49403	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2030%20Jun%202026%2007:27:33%20GMT	https://www.psicoresumenes.com/notas/validacion-de-la-escala-de-respuestas-rumiativas-rrs-en-una-muestra-de-adultasos-emergentes-universitariasos-de-uruguay	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/validacion-de-la-escala-de-respuestas-rumiativas-rrs-en-una-muestra-de-adultasos-emergentes-universitariasos-de-uruguay.html	(from https://www.psicoresumenes.com/)
04:27:33	138926/138926	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:34%20GMT	https://www.psicoresumenes.com/notas/el-cerebro-adolescente-mas-propenso-a-implicarse-en-conductas-de-riesgo	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/el-cerebro-adolescente-mas-propenso-a-implicarse-en-conductas-de-riesgo.html	(from https://www.psicoresumenes.com/)
04:27:34	122274/122274	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:35%20GMT	https://www.psicoresumenes.com/notas/investigacion-sobre-rasgos-de-personalidad-que-es-la-tetrada-oscura	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/investigacion-sobre-rasgos-de-personalidad-que-es-la-tetrada-oscura.html	(from https://www.psicoresumenes.com/)
04:27:34	129806/129806	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:36%20GMT	https://www.psicoresumenes.com/notas/la-teoria-de-la-adultez-emergente-que-plantea-sobre-los-jovenes	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/la-teoria-de-la-adultez-emergente-que-plantea-sobre-los-jovenes.html	(from https://www.psicoresumenes.com/)
04:27:35	136313/136313	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:36%20GMT	https://www.psicoresumenes.com/notas/el-efecto-werther-en-el-siglo-xxi-suicidio-y-redes-sociales	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/el-efecto-werther-en-el-siglo-xxi-suicidio-y-redes-sociales.html	(from https://www.psicoresumenes.com/)
04:27:36	124290/124290	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:37%20GMT	https://www.psicoresumenes.com/notas/que-es-un-dispositivo	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/que-es-un-dispositivo.html	(from https://www.psicoresumenes.com/)
04:27:37	132764/132764	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:38%20GMT	https://www.psicoresumenes.com/notas/de-los-modelos-categoriales-a-los-modelos-transdiagnosticos-limitaciones-y-posibilidades	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/de-los-modelos-categoriales-a-los-modelos-transdiagnosticos-limitaciones-y-posibilidades.html	(from https://www.psicoresumenes.com/)
04:27:38	120856/120856	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:38%20GMT	https://www.psicoresumenes.com/notas/burnout-academico-que-es	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/burnout-academico-que-es.html	(from https://www.psicoresumenes.com/)
04:27:38	116682/116682	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:39%20GMT	https://www.psicoresumenes.com/notas/psicologia-social-critica-que-nos-propone	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/psicologia-social-critica-que-nos-propone.html	(from https://www.psicoresumenes.com/)
04:27:39	119070/119070	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:40%20GMT	https://www.psicoresumenes.com/notas/sesgos-cognitivos-y-heuristicos-que-son	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/notas/sesgos-cognitivos-y-heuristicos-que-son.html	(from https://www.psicoresumenes.com/)
04:27:40	115842/115842	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:41%20GMT	https://www.psicoresumenes.com/herramientas.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/herramientas.html	(from https://www.psicoresumenes.com/)
04:27:40	338/338	---MC-	302	error ('Found')	text/html	date:Tue,%2030%20Jun%202026%2007:27:42%20GMT	https://www.psicoresumenes.com/soy-nuevo-en-la-fpsico.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/soy-nuevo-en-la-fpsico.html	(from https://www.psicoresumenes.com/)
04:27:41	123705/123705	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:43%20GMT	https://www.psicoresumenes.com/soy-nuevo-en-la-fpsico	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/soy-nuevo-en-la-fpsico.html	(from https://www.psicoresumenes.com/)
04:27:42	101682/101682	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:43%20GMT	https://www.psicoresumenes.com/relatos.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/relatos.html	(from https://www.psicoresumenes.com/)
04:27:42	10389/10389	---M--	200	added ('OK')	image/png	etag:%226aeae449b60b519e74318d0ca8af625d%22	https://www.psicoresumenes.com/uploads/2/6/3/9/26399176/editor/logo-servicios.png?1758950773	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/uploads/2/6/3/9/26399176/editor/logo-servicios4946.png	(from https://www.psicoresumenes.com/)
04:27:42	1184/1184	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2030%20Jun%202026%2007:27:44%20GMT	https://www.psicoresumenes.com/%22/uploads/2/6/3/9/26399176/background-images/190154004.png%22	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/_/uploads/2/6/3/9/26399176/background-images/190154004.png_	(from https://www.psicoresumenes.com/)
04:27:43	286290/286290	---M--	200	added ('OK')	image/png	etag:%2220634bac3c7d31b111f2bcfb3204f8e4%22	https://www.psicoresumenes.com/uploads/2/6/3/9/26399176/foto-de-perfil-servicios_orig.png	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/uploads/2/6/3/9/26399176/foto-de-perfil-servicios_orig.png	(from https://www.psicoresumenes.com/)
04:27:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2030%20Jun%202026%2007:27:46%20GMT	https://i.imgur.com/H646kML.png	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/i.imgur.com/H646kML.44.delayed	(from https://www.psicoresumenes.com/)
04:27:44	0/-1	---M--	302	error ('')			https://i.imgur.com/H646kML.png	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/i.imgur.com/H646kML.45.delayed	(from https://www.psicoresumenes.com/)
04:27:44	0/-1	---M--	302	error ('')			https://i.imgur.com/H646kML.png	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/i.imgur.com/H646kML.46.delayed	(from https://www.psicoresumenes.com/)
04:27:44	25832/25832	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2030%20Jun%202026%2007:27:46%20GMT	https://www.psicoresumenes.com/soy-nuevo-en-la-fpsico/planificacion-de-semestres-criterios-de-avance-curricular	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/soy-nuevo-en-la-fpsico/planificacion-de-semestres-criterios-de-avance-curricular.html	(from https://www.psicoresumenes.com/)
04:27:45	98842/98842	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:47%20GMT	https://www.psicoresumenes.com/modalidades-de-cursada-psicologia.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/modalidades-de-cursada-psicologia.html	(from https://www.psicoresumenes.com/)
04:27:46	94933/94933	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:48%20GMT	https://www.psicoresumenes.com/donde-encontrar-resumenes-textos-pruebas-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/donde-encontrar-resumenes-textos-pruebas-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:47	97849/97849	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:48%20GMT	https://www.psicoresumenes.com/escolaridad-de-psicologia-udelar.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/escolaridad-de-psicologia-udelar.html	(from https://www.psicoresumenes.com/)
04:27:47	92815/92815	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202026%2007:27:49%20GMT	https://www.psicoresumenes.com/periododesistimiento.html	C:/Users/Alejandro/Desktop/Nuevo%20sitio/PsicoRes%c3%bamenes/www.psicoresumenes.com/periododesistimiento.html	(from https://www.psicoresumenes.com/)
